STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,FORMATTED_ADDRESS
58933099999,ZHANGCHENG SOUTHWEST,1960-01-02,1961-03-14,null,CH,25.867,118.917,152,中国福建省福州市永泰县
54401099999,ZHANGJIAKOU,1956-08-20,2020-04-07,null,CH,40.7833333,114.8833333,726,中国河北省张家口市桥东区
54236099999,ZHANGWU,1956-08-20,2020-04-07,null,CH,42.4166666,122.5333333,84,中国辽宁省阜新市彰武县
52652099999,ZHANGYE,1960-03-25,2020-04-07,null,CH,39.0833333,100.2833333,1462,中国甘肃省张掖市甘州区
59126099999,ZHANGZHOU,1957-08-21,1998-11-22,null,CH,24.633,117.65,24,中国福建省漳州市芗城区
56786099999,ZHANYI,1944-01-09,2020-04-07,null,CH,25.5833333,103.8333333,1900,中国云南省曲靖市沾益区
57208099999,ZHAO-HUA,1979-08-07,1981-12-08,null,CH,32.333,105.683,675,中国四川省广元市昭化区
56576099999,ZHAO-ZI-BA,1975-10-20,1982-06-28,null,CH,27.6,102.85,2347,中国四川省凉山彝族自治州布拖县
51437099999,ZHAOSU/MONGGOLKURE,1962-03-28,1997-05-13,null,CH,43.167,81.117,1830,中国新疆维吾尔自治区伊犁哈萨克自治州昭苏县
56586099999,ZHAOTONG,1945-01-07,2020-04-07,null,CH,27.3333333,103.75,1950,中国云南省昭通市昭阳区
74932499999,ZHE-SHANG EAST,1945-01-23,1945-08-31,null,CH,23.75,106.083,162,中国云南省文山壮族苗族自治州富宁县
57906099999,ZHEN-FENG,1961-12-31,1998-10-07,null,CH,25.383,105.65,571,中国贵州省黔西南布依族苗族自治州贞丰县
47031299999,ZHENGDING,2004-07-06,2020-04-07,null,CH,38.280686,114.6973,71.01,中国河北省石家庄市正定县
56183099999,ZHENJIANGGUAN,1956-08-20,1961-10-30,null,CH,32.333,103.733,2697,中国四川省阿坝藏族羌族自治州松潘县
57803099999,ZHI-JIN,1962-05-04,1998-09-18,null,CH,26.7,105.767,1676,中国贵州省毕节市织金县
57745099999,ZHIJIANG,1943-10-01,2020-04-07,null,CH,27.45,109.6833333,273,中国湖南省怀化市芷江侗族自治县
52533199999,ZHONGCHUAN,2004-07-13,2020-04-07,null,CH,36.515231,103.620078,1947.06,中国甘肃省兰州市皋兰县
56543099999,ZHONGDIAN,1961-12-31,1998-10-13,null,CH,27.7,99.7,3001,中国云南省迪庆藏族自治州香格里拉市
53705099999,ZHONGNING,1956-08-23,2020-04-07,null,CH,37.4833333,105.6833333,1193,中国宁夏回族自治区中卫市中宁县
57378099999,ZHONGXIANG,1956-08-20,2020-04-07,null,CH,31.1666666,112.6333333,108.9,中国湖北省荆门市钟祥市
54662099999,ZHOUSHUIZI,1956-08-20,2020-04-07,null,CH,38.965667,121.5386,32.61,中国辽宁省大连市甘井子区
57290099999,ZHUMADIAN,1958-11-05,2020-04-07,null,CH,32.9333333,113.9166666,107.2,中国河南省驻马店市驿城区
53740099999,ZI-CHANG,1957-07-01,1997-03-26,null,CH,37.133,109.65,1189,中国陕西省延安市子长市
57450099999,ZIGUI,1990-04-01,1991-09-05,null,CH,31.017,110.7,442,中国湖北省宜昌市秭归县
51895099999,ZILIUJING WEST,1956-08-20,1961-07-05,null,CH,37.85,91.483,3061,中国青海省海西蒙古族藏族自治州茫崖市
54429099999,ZUNHUA,1957-12-02,1992-01-12,null,CH,40.2,117.967,152,中国河北省唐山市遵化市
57713099999,ZUNYI,1956-08-20,2006-12-31,null,CH,27.7,106.8833333,845,中国贵州省遵义市汇川区
